@relation 351565053244395_set0_1_highlevelenv10m-weka.filters.unsupervised.attribute.Remove-R1-6

@attribute nmean numeric
@attribute nmode numeric
@attribute nmedian numeric
@attribute nstddev numeric
@attribute nmin numeric
@attribute nmax numeric
@attribute nrange numeric
@attribute lmean numeric
@attribute lmode numeric
@attribute lmedian numeric
@attribute lstddev numeric
@attribute lmin numeric
@attribute lmax numeric
@attribute lrange numeric
@attribute mf1mean numeric
@attribute mf1mode numeric
@attribute mf1median numeric
@attribute mf1stddev numeric
@attribute mf1min numeric
@attribute mf1max numeric
@attribute mf1range numeric
@attribute mf2mean numeric
@attribute mf2mode numeric
@attribute mf2median numeric
@attribute mf2stddev numeric
@attribute mf2min numeric
@attribute mf2max numeric
@attribute mf2range numeric
@attribute mf3mean numeric
@attribute mf3mode numeric
@attribute mf3median numeric
@attribute mf3stddev numeric
@attribute mf3min numeric
@attribute mf3max numeric
@attribute mf3range numeric
@attribute location{Location1,Location2,UnclassifiedLocations,UncommonLocation10,UncommonLocation11,UncommonLocation3,UncommonLocation5,UncommonLocation6,UncommonLocation7,UncommonLocation8,UncommonLocation9}

@data
42.074424,42.076074,42.076074,0.012196,41.9382,42.076074,0.137874,4.009434,4,4,0.018867,4,4.047168,0.047168,8.963322,8.799988,8.999985,0.314626,8.299988,9.599991,1.300003,1.723337,1.800003,1.75,0.265434,1.300003,2.199997,0.899994,-38.646671,-38.100006,-38.650009,0.460238,-39.699997,-37.90001,1.799987,Location1
42.054598,42.076074,42.076074,0.082354,41.655707,42.076074,0.420367,4.009434,4,4,0.018867,4,4.047168,0.047168,8.939988,8.799988,8.799988,0.269073,8.499985,9.399994,0.900009,1.643335,1.699997,1.699997,0.189179,1.199997,2.100006,0.900009,-38.29334,-37.90001,-38.40001,0.440401,-39,-37.40001,1.59999,Location1
42.068869,42.076074,42.076074,0.080882,41.061569,42.076074,1.014506,4.02364,4,4,0.031766,4,4.094892,0.094892,8.893322,8.599991,8.799988,0.255516,8.499985,9.299988,0.800003,1.623336,1.699997,1.699997,0.201136,1.100006,1.900009,0.800003,-38.323341,-37.90001,-38.250007,0.452166,-39.199997,-37.40001,1.799987,Location1
55.509032,51.663975,51.663975,5.589033,42.007411,62.516129,20.508718,4.01415,4,4,0.021615,4,4.047168,0.047168,8.906655,8.799988,8.799988,0.275602,8.499985,9.399994,0.900009,1.690003,1.699997,1.699997,0.208727,1.300003,2.100006,0.800003,-38.210007,-37.700012,-38.200012,0.450441,-39.09999,-37.40001,1.69998,Location1
52.538906,42.076074,42.076074,11.906694,41.583625,66.365442,24.781817,4.004717,4,4,0.01415,4,4.047168,0.047168,8.919988,8.799988,8.799988,0.225685,8.499985,9.399994,0.900009,1.710002,1.699997,1.699997,0.170001,1.300003,2,0.699997,-38.453341,-38.200012,-38.40001,0.397266,-39.299988,-37.600006,1.699982,Location1
42.067242,42.076074,42.076074,0.035994,41.798102,42.076074,0.277972,4.009434,4,4,0.018867,4,4.047168,0.047168,8.943321,8.999985,8.999985,0.199471,8.599991,9.399994,0.800003,1.670001,1.699997,1.699997,0.118742,1.400009,1.900009,0.5,-38.360008,-38.200012,-38.300003,0.440147,-39.299988,-37.600006,1.699982,Location1
42.062287,42.076074,42.076074,0.041362,41.9382,42.076074,0.137874,4.009434,4,4,0.018867,4,4.047168,0.047168,8.916654,8.999985,8.999985,0.182727,8.499985,9.399994,0.900009,1.670001,1.699997,1.699997,0.173492,1.400009,2.199997,0.799988,-38.266674,-38.200012,-38.200012,0.442965,-39.399994,-37.600006,1.799988,Location1
42.076074,42.076074,42.076074,0,42.076074,42.076074,0,4.009434,4,4,0.018867,4,4.047168,0.047168,8.913321,8.999985,8.999985,0.257855,8.299988,9.299988,1,1.560003,1.5,1.5,0.162481,1.300003,1.900009,0.600006,-38.746674,-38.700012,-38.700012,0.206125,-39.199997,-38.40001,0.799987,Location1
42.076074,42.076074,42.076074,0,42.076074,42.076074,0,4.015723,4,4,0.022235,4,4.047168,0.047168,14.348879,14.599991,14.399994,0.227668,13.699982,14.599991,0.900009,-4.346664,-4.5,-4.399994,0.168127,-4.599991,-3.899994,0.699997,-38.899999,-39.299988,-39,0.366963,-39.59999,-38,1.59999,Location1
42.075525,42.076074,42.076074,0.006117,42.007411,42.076074,0.068664,4.007257,4,4,0.017018,4,4.047168,0.047168,14.256657,14.099991,14.299988,0.224624,13.799988,14.799988,1,-4.589996,-4.699997,-4.599991,0.164014,-4.800003,-4.099991,0.700012,-39.189998,-38.700012,-39.199997,0.43077,-40,-38,2,Location1
42.057576,42.076074,42.076074,0.03634,41.727197,42.076074,0.348878,4.009434,4,4,0.018867,4,4.047168,0.047168,14.006655,14.099991,14.049988,0.203198,13.599991,14.399994,0.800003,-4.499997,-4.5,-4.5,0.175119,-4.800003,-3.899994,0.900009,-39.173333,-38.90001,-39.09999,0.367811,-39.899994,-38.600006,1.299988,Location1
42.06614,42.076074,42.076074,0.037377,41.798102,42.076074,0.277972,4.033129,4,4.023584,0.037025,4,4.094892,0.094892,13.896653,13.999985,13.999985,0.33415,13.299988,14.799988,1.5,-4.419997,-4.5,-4.399994,0.202319,-4.899994,-4,0.899994,-39.063333,-39.399994,-39.09999,0.508904,-40.09999,-38.100006,1.999984,Location1
42.0689,42.076074,42.076074,0.022755,41.9382,42.076074,0.137874,4.009434,4,4,0.018867,4,4.047168,0.047168,14.00332,13.999985,13.999985,0.246961,13.599991,14.599991,1,-4.406663,-4.399994,-4.399994,0.174992,-4.800003,-4.099991,0.700012,-39.159998,-38.90001,-39.199997,0.330247,-39.59999,-38.300003,1.299987,Location1
42.062805,42.076074,42.076074,0.047463,41.655707,42.076074,0.420367,4.01415,4,4,0.021615,4,4.047168,0.047168,14.013321,13.799988,13.999985,0.243222,13.699982,14.399994,0.700012,-4.426663,-4.399994,-4.399994,0.20483,-4.800003,-3.899994,0.900009,-39.053334,-39.09999,-39.049995,0.381862,-39.899994,-38.300003,1.599991,Location1
52.543535,56.110017,55.931487,7.103043,42.007411,67.443506,25.436095,4.018923,4,4,0.031422,4,4.094892,0.094892,13.976654,14.299988,13.999985,0.272867,13.499985,14.399994,0.900009,-4.476663,-4.5,-4.5,0.237604,-5,-4,1,-39.176665,-39.199997,-39.199997,0.283644,-39.699997,-38.600006,1.099991,Location1
42.072229,42.076074,42.076074,0.015787,42.007411,42.076074,0.068664,4.009434,4,4,0.018867,4,4.047168,0.047168,13.713321,13.799988,13.699982,0.236268,13.299988,14.399994,1.100006,-4.516662,-4.399994,-4.5,0.146249,-4.899994,-4.199997,0.699997,-38.989999,-39.09999,-39.09999,0.431542,-39.799988,-38.200012,1.599976,Location1
42.063941,42.076074,42.076074,0.039059,41.9382,42.076074,0.137874,4.004717,4,4,0.01415,4,4.047168,0.047168,13.839987,13.999985,13.999985,0.317911,12.999985,14.599991,1.600006,-4.56333,-4.699997,-4.599991,0.199138,-4.899994,-4.099991,0.800003,-38.836671,-38.90001,-38.90001,0.333146,-39.59999,-37.90001,1.69998,Location1
48.047712,42.076074,42.076074,7.233238,41.213957,60.349015,19.135058,4.033241,4,4,0.047859,4,4.143179,0.143179,13.94332,13.999985,13.999985,0.227573,13.299988,14.299988,1,-4.599996,-4.599991,-4.599991,0.184391,-5,-4.199997,0.800003,-39.136665,-39.09999,-39.09999,0.389424,-40.09999,-38.200012,1.899978,Location1
42.067828,42.076074,42.076074,0.024772,41.868434,42.076074,0.207641,4.028468,4,4,0.043669,4,4.143179,0.143179,13.969988,14.099991,13.999985,0.222337,13.299988,14.399994,1.100006,-4.623331,-4.699997,-4.699997,0.183818,-4.899994,-4.199997,0.699997,-39.229999,-39.199997,-39.199997,0.422804,-40.199997,-38.5,1.699997,Location1
42.064866,42.076074,42.076074,0.067676,41.43764,42.076074,0.638434,4.028412,4,4,0.037929,4,4.094892,0.094892,13.819987,13.799988,13.799988,0.228619,13.299988,14.299988,1,-4.62333,-4.699997,-4.599991,0.133375,-5,-4.300003,0.699997,-38.990001,-38.90001,-39,0.324904,-39.59999,-38.40001,1.19998,Location1
42.074413,42.076074,42.076074,0.018498,41.868434,42.076074,0.207641,4.023654,4,4,0.0335,4,4.094892,0.094892,13.926655,14.099991,13.999985,0.256819,13.299988,14.399994,1.100006,-4.689997,-4.599991,-4.699997,0.20224,-5.300003,-4.399994,0.900009,-39.243332,-39.699997,-39.199997,0.398061,-40.09999,-38.600006,1.499984,Location1
42.073044,42.076074,42.076074,0.018774,41.868434,42.076074,0.207641,4.011792,4,4,0.020424,4,4.047168,0.047168,14.179989,14.099991,14.099991,0.339019,13.499985,14.799988,1.300003,-4.816665,-4.800003,-4.800003,0.193361,-5.199997,-4.5,0.699997,-38.813335,-38.700012,-38.800003,0.479393,-39.59999,-37.90001,1.69998,Location1
45.930624,42.076074,42.076074,8.296309,41.061569,64.38645,23.324881,4.004717,4,4,0.01415,4,4.047168,0.047168,14.179989,14.099991,14.099991,0.263819,13.599991,14.799988,1.199997,-4.83333,-4.899994,-4.899994,0.175752,-5.099991,-4.399994,0.699997,-38.583334,-39.299988,-38.5,0.54594,-39.899994,-37.700012,2.199982,Location1
42.074413,42.076074,42.076074,0.018498,41.868434,42.076074,0.207641,4.009434,4,4,0.018867,4,4.047168,0.047168,14.139989,14.399994,14.099991,0.336256,13.299988,14.599991,1.300003,-4.776663,-5.099991,-4.849999,0.314835,-5.199997,-4,1.199997,-38.74667,-38.90001,-38.800003,0.322211,-39.299988,-37.90001,1.399978,Location1
44.460594,42.007411,42.007411,3.592333,42.007411,49.910887,7.903476,4.013477,4,4,0.021308,4,4.047168,0.047168,14.273324,14.399994,14.299988,0.191372,13.999985,14.599991,0.600006,-4.929996,-5,-5,0.175404,-5.199997,-4.599991,0.600006,-38.580003,-38.300003,-38.550003,0.330047,-39.299988,-38.100006,1.199982,Location1
46.006129,42.076074,48.723253,3.857434,41.28916,50.130101,8.840941,4.006738,4,4,0.016505,4,4.047168,0.047168,14.406656,14.599991,14.399994,0.259401,13.999985,14.799988,0.800003,-4.836663,-4.599991,-4.800003,0.179784,-5.199997,-4.599991,0.600006,-38.58667,-38.5,-38.550003,0.358451,-39.09999,-37.800003,1.299987,Location1
45.256165,42.007411,42.007411,6.472318,41.868434,58.318544,16.450111,4.018867,4,4,0.023108,4,4.047168,0.047168,14.233323,14.099991,14.099991,0.249443,13.599991,14.799988,1.199997,-4.819997,-4.699997,-4.800003,0.19218,-5.199997,-4.399994,0.800003,-38.586669,-38.5,-38.5,0.298587,-39.299988,-38,1.299988,Location1
42.068384,42.076074,42.076074,0.021654,42.007411,42.076074,0.068664,4.015723,4,4,0.022235,4,4.047168,0.047168,14.193323,14.099991,14.099991,0.268245,13.599991,14.799988,1.199997,-4.869998,-4.800003,-4.800003,0.222334,-5.399994,-4.5,0.899994,-38.296672,-38.5,-38.350007,0.366499,-39,-37.700012,1.299988,Location1
42.915623,42.076074,42.076074,2.581959,42.076074,51.503757,9.427682,4.011792,4,4,0.020424,4,4.047168,0.047168,14.20999,14.099991,14.099991,0.248127,13.599991,14.799988,1.199997,-4.989997,-4.899994,-5,0.192093,-5.399994,-4.5,0.899994,-38.456672,-38.5,-38.5,0.368494,-39.399994,-37.800003,1.599991,Location1
53.831094,54.269811,54.269811,2.224434,41.868434,54.269811,12.401377,4.013477,4,4,0.021308,4,4.047168,0.047168,14.256657,14.299988,14.299988,0.237605,13.599991,14.899994,1.300003,-4.873331,-5,-4.899994,0.141264,-5.199997,-4.599991,0.600006,-38.510004,-38.300003,-38.5,0.381529,-39.09999,-37.700012,1.399978,Location1
44.425796,42.076074,42.076074,4.395808,41.28916,54.336754,13.047595,4.007257,4,4,0.017018,4,4.047168,0.047168,14.363323,14.399994,14.399994,0.291529,13.799988,14.799988,1,-5.056664,-5.199997,-5.099991,0.187409,-5.399994,-4.699997,0.699997,-38.853334,-39.09999,-38.90001,0.313824,-39.399994,-37.700012,1.699982,Location1
54.444151,42.076074,42.076074,14.181902,42.076074,70.705882,28.629808,4.021025,4,4,0.032447,4,4.094892,0.094892,14.203324,14.299988,14.299988,0.253619,13.599991,14.599991,1,-4.849998,-5,-4.899994,0.15438,-5.099991,-4.5,0.599991,-38.683338,-38.600006,-38.700012,0.363391,-39.299988,-37.90001,1.399978,Location1
42.07525,42.076074,42.076074,0.007476,42.007411,42.076074,0.068664,4.004288,4,4,0.01356,4,4.047168,0.047168,14.256657,14.099991,14.19999,0.28482,13.499985,14.799988,1.300003,-4.996663,-4.899994,-5,0.256234,-5.5,-4.399994,1.100006,-38.723335,-38.5,-38.700012,0.355602,-39.399994,-37.700012,1.699982,Location1
50.416991,54.599486,51.101889,4.632379,42.076074,54.599486,12.523411,4,4,4,0,4,4,0,14.323324,14.099991,14.299988,0.313778,13.499985,15.099991,1.600006,-4.90333,-4.899994,-4.899994,0.199137,-5.300003,-4.399994,0.900009,-38.506671,-38.5,-38.5,0.362335,-39.199997,-37.40001,1.799987,Location1
48.911269,55.117497,48.164799,5.69504,42.076074,55.117497,13.041423,4.011792,4,4,0.020424,4,4.047168,0.047168,14.309991,14.399994,14.349991,0.202239,13.799988,14.599991,0.800003,-4.919997,-4.800003,-4.899994,0.183303,-5.300003,-4.599991,0.700012,-38.660001,-38.800003,-38.800003,0.402156,-39.399994,-37.700012,1.699982,Location1
46.116596,50.157117,46.116596,4.040522,42.076074,50.157117,8.081043,4.009434,4,4,0.018867,4,4.047168,0.047168,14.353324,14.299988,14.349991,0.162755,13.799988,14.599991,0.800003,-5.079996,-5.099991,-5.099991,0.132664,-5.5,-4.800003,0.699997,-38.706669,-38.600006,-38.700005,0.28276,-39.09999,-38.100006,0.999984,Location1
45.673814,42.076074,42.076074,3.648483,41.583625,49.455129,7.871504,4,4,4,0,4,4,0,14.213322,14.299988,14.299988,0.218684,13.799988,14.599991,0.800003,-4.983329,-5.099991,-5,0.169475,-5.199997,-4.599991,0.600006,-38.220005,-38.300003,-38.250007,0.419047,-38.800003,-37,1.800003,Location1
45.40195,42.076074,42.076074,3.461681,42.076074,49.004982,6.928908,4.011792,4,4,0.020424,4,4.047168,0.047168,14.186656,14.299988,14.299988,0.224699,13.599991,14.399994,0.800003,-4.979997,-5,-5,0.190438,-5.300003,-4.599991,0.700012,-38.273338,-38.600006,-38.250007,0.373212,-39.09999,-37.700012,1.399978,Location1
48.892995,49.425834,49.39644,1.675925,42.076074,49.425834,7.34976,4.005896,4,4,0.015599,4,4.047168,0.047168,14.26499,14.399994,14.399994,0.241405,13.799988,14.599991,0.800003,-4.954997,-4.699997,-5,0.208507,-5.300003,-4.599991,0.700012,-38.165006,-38.100006,-38.100006,0.36232,-38.90001,-37.5,1.40001,Location1
45.690439,48.265995,48.265995,3.051629,42.007411,48.265995,6.258584,4.009434,4,4,0.018867,4,4.047168,0.047168,14.233324,14.399994,14.399994,0.26247,13.499985,14.399994,0.900009,-5.166666,-5.300003,-5.199997,0.173848,-5.300003,-4.699997,0.600006,-38.380006,-38.40001,-38.40001,0.322903,-38.800003,-37.5,1.300003,Location1
65.774169,42.076074,61.183692,21.839141,42.076074,90.267282,48.191208,4.058439,4,4.047168,0.050013,4,4.143179,0.143179,21.519989,14.599991,14.599991,12.154441,13.899994,56.899994,43,-4.597776,-5.199997,-5.199997,14.216446,-41.300003,56.199997,97.5,-19.448892,-38.600006,-38.200012,29.098932,-39.399994,71.999985,111.399979,Location1
57.161154,59.017029,59.017029,9.234163,41.9382,77.809538,35.871338,4.167325,4,4.143179,0.145323,4,4.445096,0.445095,-22.103332,-13.899994,-22.050004,8.233777,-30.699997,-13.099991,17.600006,-6.389994,-11.099991,-6.5,4.819706,-11.5,-1.299988,10.200012,-27.27333,-14.100006,-27.499992,13.157298,-40.899994,-13.5,27.399994,Location1
54.955329,60.611994,51.641267,5.675659,42.076074,60.611994,18.53592,7.979107,4.143179,7.952216,3.894322,4,12.040266,8.040266,-22.42666,-17,-22.399994,5.436471,-28.299988,-16.699997,11.599991,32.926664,19.5,32.999993,13.447702,19.09999,46.600006,27.500016,-27.733334,-42.699997,-27.849998,15.251317,-44.099976,-11.800003,32.299973,Location1
58.529497,50.422762,50.974794,12.50811,42.076074,79.618239,37.542164,12.831723,13.224094,12.84414,0.343837,12.325897,13.224094,0.898197,-16.340005,-16.40001,-16.40001,0.200996,-16.699997,-15.900009,0.799988,19.336661,19.5,19.299988,0.207338,19,19.799988,0.799988,-41.783327,-41.59999,-41.749993,0.378667,-42.5,-40.899994,1.600006,Location1
64.276275,82.98623,51.663975,16.337453,42.076074,82.98623,40.910156,5.427855,4.882149,5.404912,0.48285,4.882149,6.02911,1.146961,-18.820002,-20.300003,-18.700005,1.682341,-21,-16.699997,4.300003,-15.039996,5.600006,-15.049996,20.641003,-36,6.100006,42.100006,-28.910004,-17.100006,-28.75,11.766825,-41.300003,-16.90001,24.399993,Location1
57.956115,73.930622,50.552598,12.978954,42.076074,73.930622,31.854548,5.005962,6.02911,4.981969,0.941858,4,6.02911,2.02911,-4.510004,-14.300003,-4.550003,9.819889,-14.800003,5.799988,20.599991,13.323329,3.599991,13.349999,9.691772,3.199997,23.199997,20,-42.53999,-42.899994,-42.549995,0.356466,-43.09999,-41.899994,1.199996,Location1
68.427463,67.622302,73.410483,10.111988,42.076074,79.829838,37.753763,7.98941,7.988088,7.988088,0.145736,7.802979,8.27402,0.471042,-11.726667,-22.800003,-11.75,10.994542,-22.800003,-0.199997,22.600006,10.833334,11.600006,11.050003,0.787969,9.5,11.900009,2.400009,-38.346664,-36.100006,-38.349999,2.06667,-41.59999,-36.100006,5.499984,Location1
64.415769,76.941577,62.947342,12.201268,42.076074,76.941577,34.865503,8.172263,9.194702,8.117853,0.920797,7.188226,9.194702,2.006476,-5.66,3.400009,-5.949997,9.08485,-15.100006,4,19.100006,-6.446667,-39,-6.449997,32.587176,-39.399994,26.5,65.899994,-83.856657,-80.79999,-83.749995,2.610449,-87.39998,-80.79999,6.59999,Location1
54.533724,54.567076,54.567076,1.370742,49.337352,56.110017,6.772665,7.031194,7.27299,7.106404,0.365753,6.544732,7.533325,0.988593,9.253333,9,9.199997,0.495803,8.5,10.399994,1.899994,-7.12666,-7.099991,-7.099991,0.165193,-7.399994,-6.799988,0.600006,-47.216673,-46.200012,-47.200005,1.17589,-48.800003,-44.200012,4.599991,Location1
51.664401,51.641267,51.641267,2.624433,49.307657,57.841892,8.534235,10.933939,14.695591,10.944186,3.627903,7.104451,14.695591,7.59114,31.093328,51.59999,31.199997,20.534583,10,51.799988,41.799988,-7.399995,-6.899994,-7.19999,0.472581,-8.199997,-6.899994,1.300003,-55.366666,-64.29999,-55.649994,8.818395,-64.29999,-45.200012,19.099978,Location1
47.418926,42.076074,49.653899,4.527855,42.076074,51.641267,9.565193,16.379915,15.952388,16.335316,0.593455,15.58272,17.114851,1.532131,51.839989,51.59999,51.899994,0.277608,50.999985,52.19998,1.199995,-7.633329,-8.199997,-7.549988,0.52047,-8.399994,-7,1.399994,-64.426661,-64.59999,-64.5,0.282763,-64.899994,-63.699997,1.199997,Location1
51.65624,49.79917,49.79917,3.736204,42.076074,57.99641,15.920336,17.359177,17.31667,17.31667,0.254034,16.915384,17.727472,0.812088,51.643323,51.59999,51.59999,0.212419,51.299988,52.09999,0.800002,-8.209994,-8.299988,-8.199997,0.161966,-8.5,-7.899994,0.600006,-64.119993,-64.09999,-64.09999,0.492884,-65,-63.09999,1.90001,Location1
48.359151,42.076074,51.595672,4.577915,42.076074,54.615646,12.539571,19.324637,19.932383,19.365005,0.715825,18.362024,20.167425,1.805401,51.649991,51.899994,51.649985,0.25133,51.299988,52.09999,0.800002,-8.163327,-8.199997,-8.199997,0.202458,-8.5,-7.799988,0.700012,-63.803327,-63.899994,-63.849991,0.29267,-64.29999,-63.299988,1.000002,Location1
44.723901,42.076074,42.076074,3.036438,42.076074,48.33281,6.256736,16.99701,16.1405,16.823749,0.868581,15.952388,18.362024,2.409636,51.856659,51.899994,51.899994,0.170653,51.399994,52.09999,0.699996,-8.189993,-8.199997,-8.199997,0.144566,-8.399994,-7.699997,0.699997,-63.656663,-63.699997,-63.699997,0.400569,-64.399994,-62.699997,1.699997,Location1
43.570877,42.076074,42.076074,3.347058,42.076074,51.340527,9.264453,18.494967,15.952388,18.514907,2.544947,15.766471,21.135637,5.369166,52.063319,52.19998,52.149985,0.240116,51.59999,52.399994,0.800004,-8.283328,-8.5,-8.299988,0.163471,-8.5,-8,0.5,-63.573327,-63.299988,-63.549995,0.389815,-64.29999,-62.699997,1.599993,Location1
49.805248,50.474929,49.827234,1.383169,42.076074,50.474929,8.398855,24.798341,23.487482,24.780638,1.382235,23.213745,26.408812,3.195067,52.33332,52.499985,52.44999,0.207095,51.899994,52.499985,0.599991,-8.28666,-8.399994,-8.299988,0.197877,-8.599991,-7.899994,0.699997,-63.479993,-63.399994,-63.399994,0.348712,-64.29999,-62.799988,1.500002,Location1
42.076074,42.076074,42.076074,0,42.076074,42.076074,0,25.541678,26.408812,25.503189,0.892024,24.328213,26.720224,2.392011,52.046656,52.09999,52.09999,0.264238,51.399994,52.69998,1.299986,-8.229993,-8.299988,-8.299988,0.196893,-8.5,-7.799988,0.700012,-63.14666,-63.299988,-63.199997,0.277768,-63.799988,-62.5,1.299988,Location1
49.296848,54.485517,51.806419,5.611962,42.007411,54.485517,12.478106,26.714747,28.003027,26.736748,1.173964,25.199036,28.003027,2.803991,52.226653,52.19998,52.19998,0.267002,51.69998,52.899994,1.200014,-8.32666,-8.299988,-8.299988,0.186072,-8.699997,-7.799988,0.900009,-63.026659,-62.799988,-63.09999,0.399109,-63.899994,-62,1.899994,Location1
70.466611,89.831156,89.831156,19.936433,42.076074,89.847664,47.771589,12.000312,11.899942,11.970104,0.235739,11.624182,12.325897,0.701715,-14.136665,-4.100006,-14,9.918818,-24.5,-3.899994,20.600006,-0.28,20.5,-0.149993,20.780539,-21.300003,20.699997,42,-29.513333,-23.300003,-29.400002,6.056493,-36.09999,-22.90001,13.19998,Location1
61.81217,42.076074,58.15897,15.208393,42.076074,78.303774,36.2277,10.852701,11.488707,10.780399,0.626662,10.098748,11.761253,1.662505,-25.073338,-27.100006,-25.200005,1.869214,-27.100006,-23,4.100006,-17.996662,-22.09999,-18,4.178392,-22.399994,-13.599991,8.800003,-24.713327,-24.59999,-24.59999,0.533374,-25.59999,-23.299988,2.300002,Location1
76.216045,77.223517,77.223517,10.460939,42.076074,84.323318,42.247244,13.83575,13.069975,13.874208,0.838221,12.767099,14.868882,2.101783,-15.466667,-15.300003,-15.300003,0.556377,-16.699997,-14.5,2.199997,-21.079996,-18.09999,-21.249992,3.169165,-24.5,-17,7.5,-28.473335,-25.800003,-28.199997,2.310257,-32.100006,-25.800003,6.300003,Location1
65.957303,48.232394,48.232394,20.475064,42.076074,90.274737,48.198662,18.492124,29.347424,18.396476,11.134621,7.27299,30.04363,22.77064,-22.523334,-16.699997,-22.400002,5.822703,-28.90001,-16.299988,12.600022,-8.783337,1.199997,-8.75,9.997599,-19.100006,1.299988,20.399994,-7.369994,-39.5,-7.399994,31.95812,-39.699997,25.200012,64.900009,Location1
